"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2000-03-31","MGRE","USD","0001004434","2000-05-15","2000-05-15 00:00:00","2000","Q1",114798000,2423000,112375000,0,61043000,0,61043000,7397000,68440000,70863000,0,0,0,7397000,51332000,43935000,0,43935000,-20520000,23415000,9600000,13815000,0,0,13815000,0,13815000,0.41,0.4,34083739,34649581
"2000-03-31","MGRUF","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",32446000,0,32446000,0,690000,0,690000,0,-15993000,-15993000,0,0,0,1876000,50315000,48439000,0,48439000,0,0,39921000,8518000,0,0,8518000,0,8518000,0.22,0.21,39399088,40374088
"2000-03-31","MGTC","USD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",681465,370139,311326,9211,0,0,245609,4617,259437,629576,98,930,832,4617,56506,51889,0,51889,-51889,0,0,51987,0,0,51987,0,51987,0.01,0.01,3813708,3813708
"2000-03-31","MGTI","USD","0001001601","2000-05-17","2000-05-17 00:00:00","2000","Q1",1,-5652,5653,0,0,0,356245,5652,361897,356245,0,0,0,5652,-350592,-356244,0,-356244,0,-356244,-6070,-350174,0,0,-350174,0,-350174,-1.17,-1.17,300507,300507
"2000-02-29","MHGU","USD","0000808219","2000-04-13","2000-04-13 00:00:00","2000","Q1",7036668,6259797,776871,0,0,0,518326,346271,864597,7124394,-272221,38042,310263,346271,258545,-87726,0,-87726,93000,5274,179221,-266947,0,0,-266947,0,-276964,-0.0464,-0.0464,5747841,5747841
"2000-04-01","MHK","USD","0000851968","2000-05-05","2000-05-05 00:00:00","2000","Q1",765083000,553645000,211438000,0,0,0,124857000,20875000,145732000,699377000,0,0,9513000,20875000,86581000,65706000,0,65706000,-9513000,56193000,22196000,33997000,0,0,33997000,0,33997000,0.61,0.61,55611000,55611000
"2000-03-31","MHM.L","USD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",2665000000,1953000000,712000000,0,0,0,0,0,100000000,2053000000,0,0,0,100000000,712000000,612000000,0,612000000,-55000000,557000000,220000000,337000000,0,0,337000000,0,337000000,0.63,0.6,536000000,560000000
"2000-03-31","MHO","USD","0000799292","2000-05-15","2000-05-15 00:00:00","2000","Q1",173856000,135300000,38556000,0,20321000,0,20321000,0,20856000,156156000,0,0,0,535000,18235000,17700000,0,17700000,-4184000,13516000,5237000,8279000,0,0,8279000,0,8279000,0.51,0.5,16352000,16604000
"2000-03-31","MHTX","USD","0001099132","2000-05-15","2000-05-15 00:00:00","2000","Q1",0,0,0,644000,0,0,346000,4000,994000,994000,13000,16000,0,65000,-929000,-994000,0,-994000,0,0,-13000,-981000,0,0,-981000,0,-981000,-0.0097,-0.0097,101315000,101315000
"2000-03-31","MICR","USD","0000819689","2000-05-15","2000-05-15 00:00:00","2000","Q1",2543826,1479227,1064599,52927,592718,0,592718,229879,875524,2354751,-7239,0,7239,229879,447059,168209,20866,189075,-35344,153731,52000,101731,0,0,101731,0,101731,0.03,0.03,3405377,3465921
"2000-03-31","MICS","USD","0000923601","2000-06-30","2000-06-30 00:00:00","2000","Q1",2064702,1116266,948436,0,0,0,1857279,116369,1973648,3089914,-520341,0,520341,-407455,-1025212,-1025212,0,-1025212,-520341,-1545553,407455,-1432667,0,0,-1432667,0,-1432667,-8.44,-7.16,169733,200063
"2000-04-01","MIDD","USD","0000769520","2000-05-16","2000-05-16 00:00:00","2000","Q1",32474000,20312000,12162000,0,0,0,8570000,948000,9518000,29830000,0,0,0,948000,3592000,2644000,0,2644000,-763000,1881000,1391000,490000,0,0,490000,0,490000,0.0083,0.0083,61104000,62100000
"2000-04-30","MIND","USD","0000926423","2000-06-14","2000-06-14 00:00:00","2000","Q1",4108000,1355000,2753000,0,0,0,973000,1780000,2753000,5388000,0,0,0,3060000,1780000,-1280000,0,-1280000,160000,-1120000,-327000,-793000,0,0,-793000,0,-793000,-0.8,-0.8,3777000,3777000
"2000-04-30","MINDP","USD","0000926423","2000-06-14","2000-06-14 00:00:00","2000","Q1",4108000,1355000,2753000,0,0,0,973000,1780000,2753000,5388000,0,0,0,3060000,1780000,-1280000,0,-1280000,160000,-1120000,-327000,-793000,0,0,-793000,0,-793000,-0.8,-0.8,3777000,3777000
"2000-03-31","MINI","USD","0000911109","2000-05-09","2000-05-09 00:00:00","2000","Q1",18766383,2201344,16565039,0,9182120,1384349,10566469,0,10566469,12767813,0,0,0,1384349,5838794,0,0,5998570,-1544125,4454445,1781779,2672666,0,0,2672666,0,2672666,0.12,0.11,22923330,23669274
"2000-06-30","MIRA.L","USD","0000000000","2000-06-30","2000-06-29 20:00:00","2000","Q1",14936,94470,-79534.5919465,0,0,0,856210,0,856210,1064195,0,0,0,67585,-751284.5023299999,-818870.2353925,0,-818870.2353925,0,-818870.2353925,0,-818870.2353925,0,0,-818870.2353925,0,-818870.2353925,-1067.63,-1067.63,767,767
"2000-03-31","MIS.CN","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,100000,100000,0,100000,-100000,0,0,0,0,0,0,0,0,0,0,546200,546200
"1999-12-31","MITK","USD","0000807863","2000-02-14","2000-02-14 00:00:00","2000","Q1",2700000,500000,2200000,500000,1000000,0,1000000,100000,1600000,2100000,0,0,0,100000,700000,600000,0,600000,0,0,0,600000,0,0,600000,0,600000,0.06,0.05,10485684,11295038
"1999-06-30","MITSY","JPY","0000000000","1999-06-30","1999-06-29 20:00:00","2000","Q1",149557628620,0,149557628620,0,0,0,0,0,0,0,0,0,0,0,149557628620,149557628620,0,149557628620,-149557628620,0,-7393043230,7393043230,0,0,7393043230,0,7393043230,47.3,44.8,156410256,164864864
