"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"1990-03-31","02M.DE","USD","0000000000","1990-03-31","1990-03-31 00:00:00","1990","Q1",284400000,209300000,75100000,0,15200000,0,15200000,21600000,36800000,246100000,-10700000,0,10700000,22500000,60400000,49400000,-11100000,38300000,-11100000,27200000,10300000,16900000,0,0,16900000,0,16900000,0.32,0.32,52812500,52812500
"1990-03-31","0A55.L","USD","0001906324","1990-03-31","1990-03-31 00:00:00","1990","Q1",2500000,0,2500000,0,0,0,0,-8900000,-8900000,-8900000,0,0,0,0,-6400000,-6400000,0,-6400000,6400000,0,0,-700000,0,0,-700000,0,-700000,-0.1876675603,-0.1876675603,3730000,3730000
"1990-03-31","0A6Y.L","USD","0001770450","1990-03-31","1990-03-31 00:00:00","1990","Q1",4173000000,1271000000,2902000000,0,0,0,2270000000,209000000,2479000000,3750000000,0,0,0,209000000,632000000,423000000,0,423000000,-223000000,200000000,79000000,121000000,-375000000,29000000,-254000000,0,-254000000,-1.83,-1.83,138455000,138455000
"1990-03-31","0A8K.L","USD","0000855654","1990-03-31","1990-03-31 00:00:00","1990","Q1",300000,1800000,-1500000,0,0,0,400000,100000,500000,2300000,0,0,0,100000,-1900000,-4200000,2200000,-2000000,-100000,-2100000,0,-2100000,0,0,-2100000,0,-2100000,-0.33,-0.33,6363636,6363636
"1990-03-31","0ABX.L","USD","0000756894","1990-03-31","1990-03-30 19:00:00","1990","Q1",52900000,0,52900000,0,0,0,0,0,0,0,0,0,0,0,52900000,52900000,0,52900000,-52900000,0,-13100000,13100000,0,0,13100000,0,13100000,0.05,0.05,262000000,262000000
"1990-03-31","0H68.L","USD","0000004977","1990-03-31","1990-03-31 00:00:00","1990","Q1",622600000,0,622600000,0,0,0,0,622600000,622600000,622600000,-4200000,0,4200000,0,0,0,0,0,0,0,23600000,26100000,0,0,26100000,0,26100000,0.025,0.025,1044000000,1044000000
"1989-12-31","0HBH.L","USD","0000002969","1989-12-31","1989-12-30 19:00:00","1990","Q1",652500000,321000000,331500000,0,0,0,170900000,73100000,244000000,565000000,0,0,0,73100000,160600000,87500000,0,87500000,-14600000,72900000,23500000,49400000,0,0,49400000,0,49400000,0.23,0.23,214783000,214783000
"1990-03-31","0HEW.L","USD","0001410636","1990-03-31","1990-03-30 19:00:00","1990","Q1",130200000,72000000,58200000,0,0,0,0,23800000,23800000,95800000,0,0,0,-11000000,44700000,34400000,0,34400000,-21700000,12700000,4300000,8400000,0,0,8200000,0,8200000,0.14,0.14,58571429,58571429
"1990-03-31","0HF7.L","USD","0001037868","1990-03-31","1990-03-30 19:00:00","1990","Q1",168900000,127500000,41400000,0,0,0,17200000,5400000,22600000,150100000,0,0,0,5400000,24200000,18800000,0,18800000,-2800000,16000000,6200000,9800000,0,0,9800000,0,9800000,0.0326,0.0326,300531552,300531552
"1990-03-31","0HFB.L","USD","0000820313","1990-03-31","1990-03-30 19:00:00","1990","Q1",105200000,0,105200000,0,0,0,0,0,0,0,0,0,0,0,105200000,105200000,0,105200000,-105200000,0,0,-3000000,0,0,-3000000,0,-3000000,-0.0047,-0.0047,473120000,473120000
"1990-01-31","0HFN.L","USD","0000006281","1990-01-31","1990-01-30 19:00:00","1990","Q1",109700000,44000000,65700000,0,0,0,48000000,10800000,58800000,102800000,0,0,4900000,10800000,17700000,6900000,0,6900000,-4900000,2000000,1200000,800000,0,0,800000,0,800000,0.01,0.01,284270000,284270000
