"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","netIncome","depreciationAndAmortization","deferredIncomeTax","stockBasedCompensation","changeInWorkingCapital","accountsReceivables","inventory","accountsPayables","otherWorkingCapital","otherNonCashItems","netCashProvidedByOperatingActivities","investmentsInPropertyPlantAndEquipment","acquisitionsNet","purchasesOfInvestments","salesMaturitiesOfInvestments","otherInvestingActivities","netCashProvidedByInvestingActivities","netDebtIssuance","longTermNetDebtIssuance","shortTermNetDebtIssuance","netStockIssuance","netCommonStockIssuance","commonStockIssuance","commonStockRepurchased","netPreferredStockIssuance","netDividendsPaid","commonDividendsPaid","preferredDividendsPaid","otherFinancingActivities","netCashProvidedByFinancingActivities","effectOfForexChangesOnCash","netChangeInCash","cashAtEndOfPeriod","cashAtBeginningOfPeriod","operatingCashFlow","capitalExpenditure","freeCashFlow","incomeTaxesPaid","interestPaid"
"2025-09-30","001720.KS","KRW","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",30166716000,3439031000,0,0,-24607862000,-156220403000,0,0,131612541000,-312300612000,-303302727000,-555093000,-276252000,-13126325000,5295388000,-5177372000,-13839654000,351556246000,221556246000,130000000000,-1248601000,-1248601000,-1248601000,0,0,-41573950000,-41573950000,0,-66160334000,242573361000,1056339000,-73512681000,257276606000,330789286000,-24926405000,-555093000,-25481498000,0,0
"2025-09-30","0150.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",5990000,12678000,0,0,0,0,0,0,0,-26142000,-7474000,-166000,0,0,94600000,880000,95314000,0,0,0,-2342000,-2342000,0,-2342000,0,-3670000,-3670000,0,-8174000,-14186000,8342000,81996000,199995000,117999000,-7474000,-166000,-7640000,0,0
"2025-09-30","0178.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",52891000,204305000,0,0,-121807000,-27161000,-161450000,62795000,4009000,12685000,148074000,-32903000,49000,0,64800000,0,31946000,0,0,0,-354000,-354000,0,-354000,0,-52754000,-52754000,0,-186346000,-239454000,4256000,-55178000,245920000,301098000,148074000,-32903000,115171000,0,0
"2025-09-30","0179.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1041177000,1062115704,0,0,180299420,140211179,-427954273,439939336,28103176,105099789,2388691915,-1031020168,5656574,0,92489688,0,-932873905,-12930430,0,-12930430,0,0,0,0,0,-407398404,-407398404,0,-69832137,-490160971,138071765,1103728804,7255090733,6151361929,2388691915,-1021785265,1366906650,0,0
"2025-09-30","0241.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1375480122,25598808,0,0,-816853161,-282104883,-871693012,791055626,-454110891,255973965,840199734,-6546032,13260384,-2254533620,4473191118,0,2225371850,0,0,0,8696188,8696188,8696188,0,0,0,0,0,-10502102,-1805914,2806884,3066572554,5771914733,2705342179,840199734,-6546034,833653700,0,0
"2025-09-30","0303.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",583627278,210168323,0,0,0,0,0,0,0,-1243040159,-449244558,-134382720,0,0,0,0,-134382720,0,0,0,0,0,0,0,0,-869581206,-869581206,0,-87505027,-957086233,80365991,-1460347520,1150721160,2611068680,-449244558,-134382721,-583627280,0,0
"2025-09-30","0398.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",100782000,69237000,0,0,0,0,0,0,0,22396000,192415000,-20740000,5000,-17276000,23021000,7956000,-7034000,0,0,0,0,0,0,0,0,0,0,0,-53680000,-53680000,11003000,142704000,978785000,836081000,192415000,-20740000,171675000,0,0
"2025-09-30","0423.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",-23554000,14373000,0,0,0,0,0,0,0,-9822000,-19003000,-2759000,36000,0,90076000,0,87353000,0,0,0,0,0,0,0,0,-21580000,-21580000,0,-4024000,-25604000,265000,43011000,294168000,251157000,-19003000,-2759000,-21762000,0,0
"2025-09-30","0518.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",-7624000,4165000,0,0,0,0,0,0,0,38233000,34774000,-664000,169000,0,0,1151000,656000,-21148000,0,-21148000,0,0,0,0,0,-2255000,-2255000,0,-3003000,-26406000,2874000,11898000,252445000,240547000,34774000,-664000,34110000,0,0
"2025-09-30","0823.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",-1614000000,45000000,0,0,0,0,0,0,0,5184000000,3615000000,-46000000,0,-1002000000,286000000,0,-762000000,623000000,0,623000000,0,0,0,0,0,-3339000000,0,0,-168000000,-2884000000,99000000,68000000,3563000000,3495000000,3615000000,-14000000,3601000000,0,0
