"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-03-31","JKIL.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",56934877000,43592435000,13342442000,0,946189000,0,946189000,4132256000,5078445000,48670880000,-1550869000,0,1550869000,1688324000,8263997000,6575673000,1688324000,8263997000,-2901598000,5362399000,1450327000,3912072000,0,0,3912072000,0,3912072000,51.7,51.7,75669000,75669000
"2025-03-31","JKIL.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",56934877000,43592435000,13342442000,0,946189000,0,946189000,4132256000,5078445000,48670880000,-1550869000,0,1550869000,1688324000,8263997000,6575673000,1688324000,8263997000,-2901598000,5362399000,1450327000,3912072000,0,0,3912072000,0,3912072000,51.7,51.7,75669000,75669000
"2025-03-31","JKLAKSHMI.BO","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",61926200000,33779800000,28146400000,800000,18567900000,778100000,22494800000,-800000,22494800000,56274600000,-1811700000,0,1811700000,2994200000,9110100000,6115900000,-464300000,5651600000,-1347400000,4304200000,1278100000,2759500000,0,0,2992500000,0,2992500000,25.44,25.44,117624000,117624000
"2025-03-31","JKLAKSHMI.NS","INR","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",61926200000,33779800000,28146400000,800000,18567900000,778100000,22494800000,-800000,22494800000,56274600000,-1811700000,0,1811700000,2994200000,9110100000,6115900000,-464300000,5651600000,-1347400000,4304200000,1278100000,2759500000,0,0,2992500000,0,2992500000,25.44,25.44,117624000,117624000
"2025-03-31","JKPAPER.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",67180700000,45949800000,21230900000,0,158000000,753500000,6250500000,0,6250500000,52200300000,-1777300000,0,1777300000,3316900000,9281100000,5964200000,9016200000,14980400000,-9710500000,5269900000,1148800000,4121100000,0,0,4098200000,0,4098200000,24.19,22.91,178883000,178883000
"2025-03-31","JKPAPER.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",67180700000,45949800000,21230900000,0,158000000,753500000,6250500000,0,6250500000,52200300000,-1777300000,0,1777300000,3316900000,9281100000,5964200000,9016200000,14980400000,-9710500000,5269900000,1148800000,4121100000,0,0,4098200000,0,4098200000,24.19,22.91,178883000,178883000
"2025-03-31","JKTYRE.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",146929200000,92556100000,54373100000,1214000000,14722800000,1876000000,16598800000,0,17812800000,110368900000,-4762900000,0,4762900000,4095400000,15555000000,11459600000,25100700000,36560300000,-29490800000,7069500000,1976400000,5093100000,0,0,4950400000,0,4950400000,18.07,18.05,274260000,274260000
"2025-03-31","JKTYRE.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",146929200000,92556100000,54373100000,1214000000,14722800000,1876000000,16598800000,0,17812800000,110368900000,-4762900000,0,4762900000,4095400000,15555000000,11459600000,25100700000,36560300000,-29490800000,7069500000,1976400000,5093100000,0,0,4950400000,0,4950400000,18.07,18.05,274260000,274260000
"2025-03-31","JL","USD","0001948436","2025-07-28","2025-07-28 12:54:12","2025","FY",39075090,27817851,11257239,0,7176275,1226400,8402675,456307,8858982,36676833,-205140,0,126196,221394,3517496,3296102,-897845,2398257,771649,3169906,657566,2512340,0,0,2593248,0,2593248,0.83,0.83,3140000,3140000
"2025-03-31","JLEN.L","GBP","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",-1250000,0,-1250000,0,1585000,0,1585000,0,1585000,1585000,31073000,31073000,0,0,-2835000,-2835000,0,-2835000,0,-2835000,0,-2835000,0,0,-2835000,0,-2835000,-0.004,-0.004,653841890,653841890
