"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-10-31","6387.T","JPY","0000000000","2025-10-31","2025-10-30 20:00:00","2026","Q1",1526986000,776900000,750086000,0,0,0,598904000,0,598904000,1375804000,-1348000,1432000,2780000,22919000,203559000,180640000,-29457999,151182000,26679000,177861000,53807000,124054000,0,-1000,124053000,0,124053000,15.44,15.44,8032405,8032405
"2025-06-30","6392.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",3721000000,1970000000,1751000000,0,0,0,1102000000,0,1102000000,3072000000,7963000,8380000,417000,165057000,823128000,658071000,-9902000,649000000,7000000,656000000,184000000,472000000,0,0,472000000,0,472000000,197.18,197.18,2393736,2393736
"2025-06-30","63MOONS.BO","INR","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",303264000,386700000,-83436000,0,201274000,0,201274000,341114000,542388000,929088000,361345000,363498000,2153000,76930000,92838000,15908000,-641732000,-625824000,630414000,4590000,31298000,-26708000,694000,0,30795000,0,30101000,0.65,0.65,46078537,46078537
"2025-06-30","63MOONS.NS","INR","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",303264000,386700000,-83436000,0,201274000,0,201274000,341114000,542388000,929088000,361345000,363498000,2153000,76930000,92838000,15908000,-641732000,-625824000,630414000,4590000,31298000,-26708000,694000,0,30795000,0,30101000,0.65,0.65,46078537,46078537
"2025-06-30","6406.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",56732000000,42784000000,13948000000,0,0,0,9603000000,0,9603000000,52387000000,376000000,445000000,69000000,1295000000,6268000000,4973000000,-628000000,4345000000,556000000,4901000000,1245000000,3656000000,0,-1000000,3861000000,-1000000,3862000000,49.48,49.47,78047334,78067515
"2025-06-30","6417.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",55185000000,21289000000,33896000000,4586000000,0,0,10044000000,-4585000000,10045000000,31334000000,100000000,100000000,0,543000000,24395000000,23852000000,-1000000,23851000000,539000000,24390000000,6943000000,17447000000,0,0,17447000000,0,17447000000,80.36,79.32,219957135,219957135
"2025-06-30","6420.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",33215000000,23965000000,9250000000,0,0,0,5523000000,-9000000,5514000000,29479000000,39000000,39000000,0,-3727000000,0,3727000000,9000000,3736000000,46000000,3782000000,1118000000,2664000000,0,0,2642000000,0,2642000000,65.95,65.95,40062585,40062585
"2025-06-30","6436.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",39056000000,21855000000,17201000000,0,1131000000,13327000000,14458000000,2000000,14460000000,36315000000,119000000,194000000,75000000,2707000000,5450000000,2743000000,-2000000,2741000000,401000000,3142000000,1749000000,1393000000,0,0,1351000000,0,1351000000,19.03,19.03,70991657,70991656
"2025-07-01","6448.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",213070000000,122043000000,91027000000,0,0,0,72154000000,0,72154000000,194197000000,869000000,1252000000,383000000,13072000000,30277000000,17205000000,1668000000,18873000000,-1901000000,16972000000,5233000000,11739000000,0,0,11732000000,1000000,11731000000,45.98,45.87,255131000,255744000
"2025-06-30","6457.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",72331000000,40672000000,31659000000,0,0,0,29601000000,0,29601000000,70273000000,-517000000,48000000,565000000,5890000000,7756000000,1866000000,192000000,2058000000,-756000000,1302000000,1075000000,227000000,0,-1000000,341000000,-1000000,342000000,6.16,6.16,55478163,55478163
"2025-06-30","6460.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",81026000000,46868000000,34158000000,0,0,0,34677000000,0,34677000000,81545000000,103000000,666000000,563000000,4019000000,2003000000,-2016000000,1497000000,-519000000,-2060000000,-2579000000,808000000,-3387000000,0,0,-3387000000,0,-3387000000,-15.89,-15.89,213201536,213201536
"2025-06-30","6471.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",195760000000,153488000000,42272000000,3601000000,0,0,34244000000,0,37845000000,191333000000,105000000,979000000,874000000,12678000000,17386000000,4708000000,-281000000,4427000000,467000000,4894000000,3688000000,1206000000,0,0,1083000000,0,1083000000,2.22,2.21,488824550,490045248
"2025-06-30","6473.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",454794000000,385681000000,69113000000,0,0,0,55077000000,510000000,55587000000,441268000000,-3151000000,4160000000,7311000000,16721000000,30247000000,13526000000,-3650000000,13526000000,-3204000000,10322000000,3359000000,6963000000,0,0,6510000000,0,6510000000,20.45,20.44,318493000,318493000
"2025-06-30","6479.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",366925000000,304812000000,62113000000,0,0,0,45867000000,-1186000000,44681000000,349493000000,-1843000000,1230000000,3073000000,17079000000,34511000000,17432000000,0,17432000000,-1843000000,15589000000,4704000000,10885000000,0,0,10889000000,0,10889000000,27.12,27.11,401660000,401660000
"2025-06-30","6503.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",1312896000000,841948000000,470948000000,55600000000,0,0,321497000000,0,377097000000,1219045000000,2557000000,5164000000,2607000000,50914000000,168050000000,117136000000,-23285000000,93851000000,30225000000,124076000000,27558000000,96518000000,0,0,90926000000,0,90926000000,43.89,43.89,2071618000,2071618000
"2025-06-30","6504.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",247916000000,180173000000,67743000000,9000000000,0,0,49966000000,-9000000000,49966000000,230139000000,-662000000,144000000,806000000,15021000000,32927000000,17906000000,-129000000,17777000000,-680000000,17097000000,5764000000,11333000000,0,-1000000,10925000000,0,10925000000,74.16,74.16,147323284,147323284
"2025-05-31","6506.T","JPY","0000000000","2025-05-31","2025-05-30 20:00:00","2026","Q1",125642000000,80998000000,44644000000,0,0,0,35234000000,0,35234000000,116232000000,-775000000,453000000,1228000000,5083000000,16040000000,10957000000,-1547000000,9410000000,439000000,9849000000,2558000000,7291000000,0,0,6952000000,0,6952000000,26.81,26.78,259347000,259597000
"2025-05-31","6532.T","JPY","0000000000","2025-05-31","2025-05-30 20:00:00","2026","Q1",34307000000,15085000000,19222000000,0,0,0,7017000000,0,7017000000,22102000000,-17000000,0,17000000,608000000,12815000000,12207000000,-2000000,12205000000,-15000000,12190000000,3174000000,9016000000,0,0,9016000000,0,9016000000,59.32,59.32,151990457,151990457
"2025-10-31","6535.T","JPY","0000000000","2025-10-31","2025-10-30 20:00:00","2026","Q1",10146000000,81000000,10065000000,0,0,0,10057000000,0,10057000000,10138000000,17000000,17000000,0,58000000,102000000,44000000,-36000000,8000000,38000000,46000000,3000000,43000000,0,-1000000,42000000,0,42000000,0.75,0.75,56058390,56058390
"2025-09-30","6542.T","JPY","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q1",2056560000,1396543000,660017000,0,0,0,406081000,0,406081000,1802624000,593000,1158000,565000,38985000,274779000,235794000,18142000,253936000,-18707000,235229000,70517000,164712000,0,0,164712000,0,164712000,25.28,25.28,6516768,6516768
"2025-06-30","6570.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",4357834000,2137360000,2220474000,0,0,0,1981815000,0,1981815000,4119175000,-11649000,323000,11972000,533631000,779761000,246130000,-7471000,238659000,-4501000,234158000,91541000,142617000,0,0,142617000,0,142617000,23.92,23.82,5962863,5987279
"2025-10-31","6577.T","JPY","0000000000","2025-10-31","2025-10-30 20:00:00","2026","Q1",489402000,377413000,111989000,0,0,0,116509000,0,116509000,493922000,-3099000,2489000,5588000,6261000,5145000,-1116000,-3404000,-4520000,-2185000,-6705000,1671000,-8376000,0,0,-8375999,0,-8375999,-5.54,-5.54,1510884,1510884
