"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-06-30","LEX.AX","AUD","0000000000","2025-06-30","2025-06-29 20:00:00","2026","FY",0,72000,-72000,0,0,0,1806000,0,1806000,1878000,86000,91000,5000,72000,-2496000,-2568000,690000,-1878000,-695000,-2573000,0,-2573000,0,0,-2573000,0,-2573000,-0.0116,-0.0116,222288044,222288044
"2025-09-30","NZK.AX","NZD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","FY",175153759,176824667,-1670908,578791,0,0,27673397,0,28252189,205076857,915055,1572707,657650,8763713,-3945902,-12709616,-17213480,-29923098,16555830,-13367266,-3953342.5,-9413924.1,0,0,-9413924.1,0,-9413924.1,-0.0175,-0.0175,538182000,538182000
"2025-09-30","NZK.NZ","NZD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","FY",176578500,178263000,-1684500,583500,0,0,27898500,0,28482000,206745000,922500,1585500,663000,8835000,-3978000,-12813000,-17353500,-30166500,16690500,-13476000,-3985500,-9490500,0,0,-9490500,0,-9490500,-0.0176,-0.0176,538182000,538182000
