"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","netIncome","depreciationAndAmortization","deferredIncomeTax","stockBasedCompensation","changeInWorkingCapital","accountsReceivables","inventory","accountsPayables","otherWorkingCapital","otherNonCashItems","netCashProvidedByOperatingActivities","investmentsInPropertyPlantAndEquipment","acquisitionsNet","purchasesOfInvestments","salesMaturitiesOfInvestments","otherInvestingActivities","netCashProvidedByInvestingActivities","netDebtIssuance","longTermNetDebtIssuance","shortTermNetDebtIssuance","netStockIssuance","netCommonStockIssuance","commonStockIssuance","commonStockRepurchased","netPreferredStockIssuance","netDividendsPaid","commonDividendsPaid","preferredDividendsPaid","otherFinancingActivities","netCashProvidedByFinancingActivities","effectOfForexChangesOnCash","netChangeInCash","cashAtEndOfPeriod","cashAtBeginningOfPeriod","operatingCashFlow","capitalExpenditure","freeCashFlow","incomeTaxesPaid","interestPaid"
"2025-06-30","CRS.AX","AUD","0000000000","2025-06-30","2025-06-29 20:00:00","2025","Q4",-598553,1185,0,0,0,0,0,0,0,13997,-583371,-2983756,0,0,0,20000,-2963756,24024,0,24024,9600996,9600996,9600996,0,0,0,0,0,-20000,9605020,0,6057893,7776990,1719097,-583371,-597819,-1181190,0,0
"2025-03-31","CRSTCHM.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",6103745,0,0,0,0,0,0,0,0,-6103745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CRUS","USD","0000772406","2025-05-23","2025-05-23 16:02:40","2025","Q4",71267000,13150000,-7497000,19491000,34007000,45934000,-23534000,-8601000,20208000,-32000,130386000,-3429000,0,-13322000,9392000,-5752000,-13111000,0,0,0,-104099000,-104099000,0,-104099000,0,0,0,0,0,-104099000,0,13176000,539620000,526444000,130386000,-3429000,126957000,0,0
"2025-07-31","CRUZ.CN","CAD","0000000000","2025-07-31","2025-07-30 20:00:00","2025","Q4",667041,13715,0,0,36359,-2629,0,0,38988,-836114,-118999,0,0,0,0,0,0,-17147,-17147,0,0,0,0,0,0,0,0,0,0,-17147,-34500,-170646,363131,533777,-118999,0,-119000,0,0
"2025-03-31","CRVL","USD","0000874866","2025-05-23","2025-05-23 16:30:30","2025","Q4",26419000,7601000,-4065000,1338000,-10748000,7000,0,0,-10755000,2376000,22921000,-8661000,0,0,0,0,-8661000,0,0,0,-8996000,-8996000,0,-8996000,0,0,0,0,2376000,-6620000,0,7640000,170584000,162944000,22921000,-8661000,14260000,7308000,0
"2025-06-30","CRW.L","USD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",12427000,17468000,0,3094000,-41390000,-14631000,0,0,-26759000,11061000,2660000,-144000,0,0,0,-7079000,-7223000,0,0,0,-29000,-29000,0,-29000,0,-6168000,-6168000,0,-5479000,-11676000,0,-72160000,0,72160000,2660000,-144000,2516000,0,1124000
"2025-01-31","CRWD","USD","0001535527","2025-03-10","2025-03-10 08:44:44","2025","Q4",-92731000,57440000,-7781000,272531000,19035000,-313403000,0,50843000,281595000,97228000,345722000,-87211000,-213876000,-7906000,1677000,-17703000,-325019000,0,0,0,44192000,44192000,44192000,0,0,0,0,0,2194000,46386000,-4637000,62452000,4324666000,4262214000,345722000,-104914000,240808000,4827000,0
"2025-03-31","CRWKF","GBP","0000000000","2025-03-29","2025-03-29 00:00:00","2025","Q4",67700000,44900000,0,4300000,-20500000,-30900000,10400000,0,0,13300000,109700000,-89900000,-20600000,0,0,1100000,-109400000,36000000,36000000,0,-14900000,-14900000,0,-14900000,0,-13400000,-13400000,0,-10500000,-2800000,0,-2500000,5900000,8400000,109700000,-89900000,19799999,0,5100000
"2025-06-30","CRWRF","USD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",12427000,17468000,0,3094000,-41390000,-14631000,0,0,-26759000,10667938,2266938,-144000,0,0,0,-8195287,-8339287,-4215446,0,-4215446,-29000,-29000,0,-29000,0,-6168000,-6168000,0,-888797,-11301243,1309474,-16064118,56020979,72160000,2660000,-144000,2516000,0,1124000
"2025-03-31","CRWS","USD","0000025895","2025-06-25","2025-06-25 07:01:19","2025","Q4",-10787000,1561000,-3746000,0,1907000,993000,3898000,-3473000,489000,13892000,2827000,-213000,59000,0,0,0,-154000,-2360000,-2360000,0,0,0,0,0,0,-825000,-825000,0,-20000,-3205000,0,-532000,521000,1053000,2827000,-213000,2614000,-629000,-693000
"2025-01-31","CRYBF","CAD","0000000000","2025-01-31","2025-01-31 00:00:00","2025","Q4",-4951878,170312,0,372181,304872,-1913,0,114347,192438,4136185,31672,0,0,0,0,0,0,22500,0,22500,-60938,-60938,0,-60938,0,0,0,0,0,-38438,-710,-7476,5108,12584,31672,0,31672,0,0
"2025-06-30","CRZNF","USD","0000000000","2025-06-30","2025-06-29 20:00:00","2025","Q4",-146508,0,0,0,0,0,0,0,0,-60671,-207179,-324123,0,0,230153,0,-93970,0,0,0,-16667,-16667,-16667,0,0,0,0,0,0,-16667,43799,-274017,426597,700614,-207179,-119717,-326896,0,0
"2025-09-30","CRZY","USD","0001005119","2025-09-30","2025-09-30 00:00:00","2025","Q4",570000,43000,0,0,174000,-276000,0,0,450000,811000,1598000,-7000,0,0,1000,-807000,-813000,500000,500000,0,0,0,0,0,0,0,0,0,-3575000,-3075000,0,-2290000,15250000,17540000,1598000,-7000,1591000,0,0
"2025-07-31","CS3.F","EUR","0000000000","2025-07-31","2025-07-30 20:00:00","2025","Q4",-29366824,0,0,0,162442471,0,0,0,162442471,158280245,291355892,-16880142,120242114,-245455777,-86597445,5549635,-223141615,-183716076,51449750,-235165827,-1849878,-1849878,0,-1849878,0,0,0,0,67867423,-117698531,49484254,0,0,0,291355892,-3930992,287424899,0,0
"2025-03-31","CSASF","JPY","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",8788000000,0,0,0,0,0,0,0,0,-8788000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CSBBANK.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",1904400000,0,0,0,0,0,0,0,0,-1904400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CSBBANK.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",1904400000,0,0,0,0,0,0,0,0,-1904400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-04-30","CSBR","USD","0000771856","2025-07-23","2025-07-23 17:01:48","2025","Q4",-1835000,394000,0,131000,7727000,4500000,0,-614000,3841000,451000,6868000,-253000,0,0,0,0,-253000,-38000,-38000,0,6000,6000,6000,0,0,0,0,0,0,-32000,0,6583000,9785000,3202000,6868000,-253000,6615000,0,0
"2025-07-31","CSC.DE","USD","0000016732","2025-09-18","2025-09-18 07:40:12","2025","Q4",145000000,106000000,4000000,5000000,-66000000,83000000,-129000000,-17000000,-3000000,77000000,271000000,-130000000,11000000,0,0,12000000,-107000000,-58000000,-12000000,-46000000,-2000000,-2000000,0,-2000000,0,-116000000,-116000000,0,0,-176000000,1000000,-11000000,132000000,143000000,271000000,-130000000,141000000,0,0
