"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","cashAndCashEquivalents","shortTermInvestments","cashAndShortTermInvestments","netReceivables","accountsReceivables","otherReceivables","inventory","prepaids","otherCurrentAssets","totalCurrentAssets","propertyPlantEquipmentNet","goodwill","intangibleAssets","goodwillAndIntangibleAssets","longTermInvestments","taxAssets","otherNonCurrentAssets","totalNonCurrentAssets","otherAssets","totalAssets","totalPayables","accountPayables","otherPayables","accruedExpenses","shortTermDebt","capitalLeaseObligationsCurrent","taxPayables","deferredRevenue","otherCurrentLiabilities","totalCurrentLiabilities","longTermDebt","capitalLeaseObligationsNonCurrent","deferredRevenueNonCurrent","deferredTaxLiabilitiesNonCurrent","otherNonCurrentLiabilities","totalNonCurrentLiabilities","otherLiabilities","capitalLeaseObligations","totalLiabilities","treasuryStock","preferredStock","commonStock","retainedEarnings","additionalPaidInCapital","accumulatedOtherComprehensiveIncomeLoss","otherTotalStockholdersEquity","totalStockholdersEquity","totalEquity","minorityInterest","totalLiabilitiesAndTotalEquity","totalInvestments","totalDebt","netDebt"
"2025-09-30","001720.KS","KRW","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",251399086000,214729273000,466128359000,1138930043000,1138930043000,0,0,14944987000,362898019000,1982901408000,86782005000,0,36291052000,36291052000,723558777000,798281000,9240904844000,10088334959000,0,12071236367000,0,0,0,0,5885271299000,0,12854526000,0,-5722336970000,162934329000,1139692054000,0,0,0,8819267920000,9958959974000,2236385654000,0,10121894302000,-181608450000,0,82200000000,1600441582000,106142180000,0,267537523000,1874712835000,1949342065000,74629230000,12071236367000,723558777000,6188698000000,5937298914000
"2025-09-30","0035.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",2682368000,767175000,3449543000,5129655000,0,5129655000,0,0,-8579198000,0,12905453000,0,0,68400000,0,124537000,-13098390000,0,41055669000,41055669000,0,0,0,0,10776207000,0,0,0,-10776207000,0,16189667000,266742000,591215000,698442000,-17746066000,0,31186112000,266742000,31186112000,0,0,305904000,0,5106778000,0,4155146000,9567828000,9869557000,301729000,41055669000,767175000,27232616000,24550248000
"2025-09-30","0052.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",552074000,0,552074000,80811000,8929000,71882000,61061000,26411000,0,720357000,1356613000,1000999,0,1000999,20623000,2129000,57731000,1438097000,0,2158454000,402366000,402366000,0,280000,372137000,0,0,6324000,66707000,847814000,5476000,570605000,0,129000,90037999,666247999,0,570605000,1514062000,0,0,129553000,0,0,0,514839000,644392000,644392000,0,2158454000,20623000,948218000,396144000
"2025-09-30","0057.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",726218000,0,726218000,1354451000,1354451000,0,766912000,0,264046000,3111627000,637937000,51905000,1426000,53331000,514607999,29893000,5855000,1241624000,0,4353251000,764986000,724271000,40715000,0,4201000,0,0,0,320362000,1089549000,0,11084000,0,90325000,10522000,111931000,0,11084000,1201480000,0,0,63053000,0,0,0,3082322000,3145375000,3151771000,6396000,4353251000,514607999,15285000,-710933000
"2025-09-30","0129.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",2276336000,1542877000,3819213000,3518259000,0,3518259000,0,0,-7337472000,0,4278035000,0,0,0,0,119454000,-4397489000,0,27369667000,27369667000,0,0,0,0,7031443000,0,0,0,-7031443000,0,7712816000,82000,35219000,188955000,-7937072000,0,15742161000,82000,15742161000,0,0,14206000,0,0,0,11605754000,11619960000,11627506000,7546000,27369667000,1542877000,14744341000,12468005000
"2025-09-30","0150.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",199995000,20338000,220333000,186435000,171570000,14865000,43250000,27868000,0,477886000,33928000,0,42328000,42328000,14765000,11514000,5568000,108103000,0,585989000,29138000,28106000,1032000,11000000,10540000,0,0,35468000,41725000,127871000,0,7197000,0,0,0,7197000,0,7197000,135068000,0,0,20358000,347809000,42137000,19404000,21213000,450921000,450921000,0,585989000,35103000,17737000,-182258000
"2025-09-30","0178.HK","HKD","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",245920000,5200000,251120000,94515000,91907000,2608000,833467000,79822000,45470000,1304394000,758820000,0,0,0,0,174817000,85093000,1018730000,0,2323124000,323550000,301421000,22129000,0,0,293991000,36415000,0,200476000,818017000,0,294018000,0,183000,47924000,342125000,0,588009000,1160142000,-2400000,0,310319000,-526624000,1412707000,-31020000,0,1162982000,1162982000,0,2323124000,5200000,588009000,342089000
"2025-09-30","0179.HK","USD","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",932483000,4434000,936917000,816875000,677515000,139360000,595706000,0,41636000,2391134000,1524373000,0,147279000,147279000,478300090,104282000,-388205090,1866029000,0,4257163000,811813000,773012000,38801000,0,49973000,17174000,38801000,0,53649000,932609000,309710000,43901000,0,73825000,76324000,503760000,0,61075000,1436369000,-17039076,0,46884690,21307442342,692167725,-422032237,0,21607423444,2820794000,339482193,4257163000,512798383,420758000,-511725000
"2025-09-30","0241.HK","CNY","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",4935370000,4866515079,9387846000,3177120000,1284030000,1893090000,2071000000,43008000,1742609771,16421583771,109363000,886254828,291624140,1177878968,7496305472,55837000,166974099,9006358539,0,25427942310,4066566080,3913819530,152746550,0,27896402,25523000,139751000,0,1936514532,6056500014,0,50382000,0,106332000,0,171286952,0,75905000,6227786966,-8899130,0,156387302,-38343634745,56474724907,920740872,0,19199319206,17566622000,765000,25427942310,12362820552,82963462,-5688951271
"2025-09-30","0276.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",156105000,66822999,222928000,856484000,856484000,0,338506000,196000,124293000,1542407000,616679000,0,0,52077000,201748000,61814000,4994000,937312000,0,2479719000,537792000,271482000,266310000,0,5694000,0,0,48477000,1780264000,2372227000,4833996000,2342000,479000,40612000,36547000,4913976000,0,2342000,7286203000,0,0,3763000,0,0,0,-4810247000,-4806484000,-4806484000,0,2479719000,268571000,4842032000,4685927000
"2025-09-30","0303.HK","USD","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",147900000,0,147900000,505500000,505500000,0,451000000,0,5100000,1109500000,210900000,36100000,13700000,49800000,48238480,13700000,-35738480,286900000,0,1396400000,594800000,287600000,307200000,0,178949200,23000000,26800000,0,-131849200,664900000,0,111000000,0,3000000,700000,114700000,0,134000000,779600000,0,0,12700000,0,165900000,0,438200000,616800000,616800000,0,1396400000,48238480,134000000,-13900000
"2025-09-30","0345.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1273958000,0,1273958000,985577000,838677000,146900000,472361000,0,0,2731896000,2648334000,0,0,18000,3671000,209222000,17620000,2878865000,0,5610761000,835881000,794385000,41496000,0,345065000,0,0,62947000,984637000,2228530000,21238000,159476000,0,66060000,33554999,280328999,0,159476000,2508859000,0,0,1055611000,0,0,0,1941912000,2997523000,3101902000,104379000,5610761000,3671000,525779000,-748179000
