"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","cashAndCashEquivalents","shortTermInvestments","cashAndShortTermInvestments","netReceivables","accountsReceivables","otherReceivables","inventory","prepaids","otherCurrentAssets","totalCurrentAssets","propertyPlantEquipmentNet","goodwill","intangibleAssets","goodwillAndIntangibleAssets","longTermInvestments","taxAssets","otherNonCurrentAssets","totalNonCurrentAssets","otherAssets","totalAssets","totalPayables","accountPayables","otherPayables","accruedExpenses","shortTermDebt","capitalLeaseObligationsCurrent","taxPayables","deferredRevenue","otherCurrentLiabilities","totalCurrentLiabilities","longTermDebt","capitalLeaseObligationsNonCurrent","deferredRevenueNonCurrent","deferredTaxLiabilitiesNonCurrent","otherNonCurrentLiabilities","totalNonCurrentLiabilities","otherLiabilities","capitalLeaseObligations","totalLiabilities","treasuryStock","preferredStock","commonStock","retainedEarnings","additionalPaidInCapital","accumulatedOtherComprehensiveIncomeLoss","otherTotalStockholdersEquity","totalStockholdersEquity","totalEquity","minorityInterest","totalLiabilitiesAndTotalEquity","totalInvestments","totalDebt","netDebt"
"2025-06-30","LEX.AX","AUD","0000000000","2025-06-30","2025-06-29 20:00:00","2026","FY",1680000,0,1680000,57000,0,57000,0,0,4000,1741000,145000,0,0,0,0,0,23862000,24007000,0,25748000,92000,92000,0,69000,75000,0,0,0,211000,447000,0,39000,0,0,283000,322000,0,39000,769000,0,0,55030000,-33592000,0,3541000,0,24979000,24979000,0,25748000,0,114000,-1566000
"2025-09-30","NZK.AX","NZD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","FY",45260838,2975793,48236631,13742216,10547205,3195011,101112527,1331171,1802343,166224888,69109844,0,2520497,2520497,1467066,0,0,73097409,0,239322297,10664253,10225820,438432,4119490,3694943,0,0,0,7862051,26340737,7763846,7763846,2754592,6011103,-7057591,17235799,0,7763846,43576537,0,0,178689498,15696322,0,1359937,0,195745759,195745759,0,239322297,4442860,19222638,-26038199
"2025-09-30","NZK.NZ","NZD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","FY",45629000,3000000,48629000,13854000,10633000,3221000,101935000,1342000,1817000,167577000,69672000,0,2541000,2541000,1479000,0,0,73692000,0,241269000,10751000,10309000,442000,4152999,3725000,0,0,0,7926000,26555000,7827000,7827000,2777000,6060000,-7115000,17375999,0,7827000,43931000,0,0,180143000,15824000,0,1371000,0,197338000,197338000,0,241269000,4479000,19379000,-26250000
