"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-09-30","001720.KS","KRW","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",134680339000,6840841000,89768751000,0,8510980000,5103568000,13614548000,35225739000,48840287000,93751875000,27155438000,72067025000,44911588000,2325300000,87678295000,85352995000,0,85352995000,0,40928464000,10761748000,30166716000,0,0,29581181000,0,29581181000,3690,3690,8017000,8017000
"2025-09-30","0035.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",3798863000,2643798000,0,0,0,0,0,0,0,3365426000,13075000,13075000,0,246226000,679663000,433437000,0,433437000,-1152636000,-719199000,84961000,-804160000,0,0,-988420000,0,-988420000,-0.32,-0.32,3059040000,3059040000
"2025-09-30","0052.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1517523000,1394410000,123113000,0,0,0,94673000,0,94673000,1489083000,-8233999,7960000,16193999,263978999,295876000,31897000,-3457000,28440000,-12737000,15703000,2488000,13215000,0,0,13215000,0,13215000,0.1,0.1,129553000,129553000
"2025-09-30","0057.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1211523000,935986000,275537000,0,0,0,209855000,0,209855000,1145841000,-500000,0,500000,31652000,102734000,71082000,-5400000,65682000,5498000,71180000,11001000,60179000,0,0,60644000,0,60644000,0.0962,0.0962,630532000,630532000
"2025-09-30","0129.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",5339918000,4453521000,0,0,0,0,0,0,0,4630692000,0,0,0,71507000,780733000,709226000,0,709226000,-1018858000,-309632000,35770000,-345402000,0,0,-344477000,0,-344477000,-0.24,-0.24,1420635324,1420635324
"2025-09-30","0150.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",279252000,157030000,122222000,0,0,0,121420000,0,121420000,278450000,2067000,2566000,499000,12678000,19399000,6721000,-5919000,802000,5155000,5957000,-33000,5990000,0,0,5990000,0,5990000,0.0029,0.0029,2035758000,2036389000
"2025-09-30","0178.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1990560000,1439872000,550688000,0,0,0,495836000,0,495836000,1935708000,-7911000,5969000,13880000,204305000,279797000,75492000,-20640000,54852000,6760000,61612000,8721000,52891000,-2734000,0,50157000,0,50157000,0.0162,0.0162,3102006000,3102259000
"2025-09-30","0179.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",14324908889,10995944206,3328964683,692664792,0,0,998002646,0,1690667439,12686611645,21384040,122928937,101544896,1062115704,2405700706,1343585000,294712242,1638297243,-396257139,1242040103,190784397,1051255706,0,0,1041177000,0,1041177000,1.13,1.11,925308000,937643000
"2025-09-30","0241.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",18132001968,13597592200,4534409767,340000563,0,0,2979119000,0,3319119566,16916711766,251114394,251860433,746039,25598808,1596348981,1570750173,-355459972,1215290201,336788360,1552078561,176833000,1375245560,0,0,1375480122,0,1375480122,0.0853,0.0849,16121247446,16201945020
"2025-09-30","0276.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",871143000,786742000,84401000,0,0,0,129414999,0,129414999,916157000,-267008000,9936000,276944000,21495000,-372748000,-394243000,349229000,-45014000,-626173000,-671187000,68965000,-740152000,0,0,-740152000,0,-740152000,-3.93,-3.93,188126000,188126000
"2025-09-30","0303.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",7743413601,5278428240,2464985360,323456082,0,0,1420394100,0,1743850182,7022278422,-12500718,0,12500718,210168323,935991272,725822948,-4687769,721135178,-7812948,713322229,129694950,583627278,0,0,583627278,0,583627278,2.31,2.31,252800000,252800000
"2025-09-30","0345.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",3226665000,1664465000,1562200000,0,0,0,1297678000,29834000,1327512000,2991977000,-13248000,0,13248000,245010000,491723000,246713000,-12025000,234688000,-1223000,233465000,54708000,178757000,0,0,171643000,0,171643000,0.16,0.16,1057869999,1060073000
"2025-09-30","0384.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",34481081000,28975554000,5505527000,0,0,0,2522189000,0,2522189000,31497743000,-825996000,0,825996000,0,3399150000,3399150000,-415812000,2983338000,-578808000,2404530000,636445000,1768085000,0,0,1334217000,0,1334217000,0.25,0.25,5395413000,5395413000
"2025-09-30","0398.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",1618471000,1176438000,442033000,0,0,0,317371000,0,317371000,1493809000,2510000,7171000,4661000,69237000,229563000,160326000,-35664000,124662000,41014000,165676000,64903000,100773000,0,0,100782000,0,100782000,0.21,0.21,487358224,487358224
"2025-09-30","0423.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",364435000,208264000,156171000,0,0,0,182910000,0,182910000,391174000,4428000,4607000,179000,14373000,-8000000,-22373000,-4366000,-26739000,4187000,-22552000,787000,-23339000,0,0,-23554000,0,-23554000,-0.0546,-0.0546,431600000,431600000
"2025-09-30","0518.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",279607000,225390000,54217000,0,0,0,64580000,0,64580000,289970000,-1316000,0,1316000,4165000,-2090000,-6255000,-4108000,-10363000,3060000,-7303000,831000,-8134000,0,0,-7624000,0,-7624000,-0.0169,-0.0169,451067557,451067557
"2025-09-30","0590.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",6843384000,4470151000,2373233000,0,0,0,1289272000,0,1289272000,5759423000,-29922000,11313000,41235000,292514000,1083475000,790961000,292999999,1083961000,-334235000,749726000,148536000,601190000,0,0,619186000,0,619186000,1.05,1.05,587107850,587107850
"2025-09-30","0823.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",7054000000,1872000000,0,0,0,0,0,0,0,2303000000,0,0,0,45000000,4796000000,4751000000,0,4751000000,-5973000000,-1222000000,515000000,-1737000000,0,0,-1614000000,0,-1614000000,-0.62,-0.62,2583948000,2583948000
"2025-09-30","0855.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",5183257000,3356256000,1827001000,0,0,0,446960000,0,446960000,3803216000,-241678000,110267000,351945000,585531000,2194217000,1608686000,-228645000,1380041000,-162163000,1217878000,262317000,955561000,0,0,571251000,0,571251000,0.35,0.35,1626786000,1626786000
"2025-09-30","0938.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",44759000,24893000,0,0,0,0,0,0,0,37937000,2000,2000,0,2168000,8990000,6822000,0,6822000,-16552000,-9730000,4621000,-14351000,0,-4978000,-19264000,0,-19264000,-0.0298,-0.0298,647199000,647199000
"2025-09-30","0992.HK","USD","0000932477","2025-09-30","2025-09-30 00:00:00","2026","Q2",20452022000,17305391000,3146631000,580585000,801435000,963237000,1764672000,158453000,2503710000,19809101000,-47537000,0,0,266726000,909647000,642921000,0,642921000,-148636000,494285000,113993000,380292000,0,0,340276000,0,340276000,0.0277,0.0252,13506767752,14868595312
"2025-07-31","0A1O.L","USD","0001585521","2025-08-22","2025-08-22 16:02:10","2026","Q2",1217227000,273165000,944062000,206447000,76885000,338995000,415880000,0,622327000,895492000,0,0,0,32163000,353898000,321735000,0,321735000,126427000,448162000,89570000,358592000,0,0,358592000,0,358592000,1.19,1.16,301779000,308224000
"2025-07-31","0A23.L","USD","0001412408","2025-09-05","2025-09-05 16:02:27","2026","Q2",117255000,37641000,79614000,29274000,19042000,25396000,44438000,7409000,81121000,118762000,608000,999000,391000,7409000,7237000,-172000,-1335000,-1507000,944000,-563000,-1217000,654000,0,0,654000,0,654000,0.011,0.0106,59261722,59261722
"2025-09-30","0A28.L","EUR","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",3146478462,1741288798,1405189664,0,0,0,1226284181,0,1226284181,2967572980,95532053,355205545,259673491,112033044,2598471866,2486438821,-2307533338,178905482,4788761314,4967666796,66003964,4901662832,-13027098,0,4887767261,0,4887767261,2.19,2.19,2232806043,2232806043
"2025-09-30","0DO7.L","EUR","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",4774000,4025000,749000,0,0,0,2943000,0,2943000,6968000,-98000,0,98000,160000,-2312000,-2472000,278000,-2194000,-376000,-2570000,0,-2570000,-117000,0,-2687000,0,-2687000,-0.0364,-0.0364,73880491,73880491
"2025-09-30","0G1T.L","EUR","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",458092000,411483000,46609000,0,0,0,360000,3138000,3498000,414981000,-1129000,581000,1710000,10397000,53080000,42683000,428000,43111000,-2138000,40973000,10545000,30428000,0,0,30321000,0,30321000,1.24,1.24,24500309,24500309
"2025-09-30","0GFE.L","SEK","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",3850000000,715000000,3135000000,0,0,0,0,3208000000,3208000000,3923000000,-5000000,33000000,38000000,1222000000,1298000000,76000000,-149000000,-73000000,111000000,38000000,61000000,-23000000,0,0,-20000000,0,-20000000,-0.1,-0.1,209000000,209000000
"2025-11-01","0HAL.L","USD","0001368622","2025-12-10","2025-12-09 19:19:33","2026","Q2",472508000,390497000,82011000,35993000,0,0,98336000,-30350000,103979000,494476000,4669000,4669000,0,58075000,37471000,-20604000,-1364000,-21968000,2560000,-19408000,-2305000,-17103000,0,0,-17103000,0,-17103000,-0.61,-0.61,28019000,28173000
"2025-10-31","0HEM.L","USD","0001092796","2025-12-04","2025-12-04 16:15:45","2026","Q2",124670000,94321000,30349000,2433000,13465000,10336000,23801000,0,26234000,120555000,0,0,-1385000,0,4115000,0,0,4115000,-1108000,3007000,1090000,0,0,0,1917000,0,0,0.0432,0.0429,44396000,44737000
"2025-07-31","0HJF.L","USD","0000769397","2025-09-02","2025-09-02 16:04:12","2026","Q2",1763000000,136000000,1627000000,413000000,168000000,559000000,727000000,37000000,1177000000,1319000000,12000000,12000000,0,47000000,497000000,450000000,-6000000,444000000,12000000,456000000,143000000,313000000,0,0,313000000,0,313000000,1.47,1.46,213000000,215000000
"2025-09-30","0HOT.L","USD","0001443646","2025-10-24","2025-10-24 06:49:48","2026","Q2",2890000000,1340000000,1550000000,0,308000000,0,308000000,959000000,1267000000,2607000000,-48000000,0,48000000,41000000,322000000,281000000,2000000,283000000,-50000000,233000000,58000000,175000000,0,0,175000000,0,175000000,1.42,1.42,123239436,123239436
"2025-07-31","0HP1.L","USD","0001372612","2025-08-27","2025-08-27 16:05:59","2026","Q2",293999000,61522000,232477000,71717000,37984000,102198000,140182000,0,211899000,273421000,4035000,6715000,2680000,7730000,34151000,26421000,-5843000,20578000,3163000,23741000,10296000,13445000,0,0,13445000,0,8097000,0.0559,0.0536,144896000,151102000
"2025-10-31","0HQ3.L","USD","0000014693","2025-12-04","2025-12-04 16:09:14","2026","Q2",1036000000,421000000,615000000,0,177000000,136000000,313000000,0,313000000,734000000,-23000000,0,23000000,0,302000000,302000000,0,302000000,-23000000,279000000,55000000,224000000,0,0,224000000,0,224000000,0.47,0.47,471873000,472607000
"2025-08-31","0HTQ.L","USD","0001170010","2025-09-26","2025-09-26 12:04:40","2026","Q2",7084522000,6331503000,753019000,0,537393000,63700000,601093000,0,601093000,6932596000,-28453000,0,28453000,88331000,243881000,155550000,-3624000,151926000,-24829000,127097000,31719000,95378000,0,0,95378000,0,95378000,0.64,0.64,150714000,151122000
"2025-09-27","0HYI.L","USD","0000772406","2025-11-04","2025-11-04 16:02:22","2026","Q2",560960000,266586000,294374000,110021000,0,0,39589000,0,149610000,416196000,8695000,8938000,243000,12704000,166343000,153639000,-8875000,144764000,8632000,153396000,21800000,131596000,0,0,131596000,0,131596000,2.57,2.48,51175000,53054000
"2025-11-30","0HYJ.L","USD","0000723254","2025-11-30","2025-11-29 19:00:00","2026","Q2",2799992000,1387507000,1412485000,0,0,0,756771000,0,756771000,2144277999,-27210000,866000,28076000,0,656580000,656580000,-866000,655714000,-27210000,628504000,133161000,495343000,0,0,495343000,0,495343000,1.23,1.21,401484000,406433000
"2025-11-30","0I2P.L","USD","0000023217","2025-11-30","2025-11-29 19:00:00","2026","Q2",2979100000,2281200000,697900000,0,0,0,358100000,0,358100000,2639300000,-90400000,3800000,94200000,97000000,-462300000,-559300000,899100000,339800000,-995100000,-655300000,8300000,-663600000,0,0,-663600000,0,-663600000,-1.39,-1.39,479000000,479000000
"2025-09-30","0I6U.L","USD","0001688568","2025-10-31","2025-10-30 20:37:06","2026","Q2",3161000000,2678000000,483000000,0,0,0,366000000,-1000000,365000000,3043000000,-7000000,46000000,53000000,295000000,479000000,184000000,-66000000,118000000,13000000,131000000,91000000,40000000,0,0,36000000,0,36000000,0.2,0.2,177430000,179150000
"2025-11-23","0I77.L","USD","0000940944","2025-12-30","2025-12-30 15:56:05","2026","Q2",3102100000,963700000,2138400000,0,117800000,48700000,166500000,1651500000,1818000000,2781700000,-48000000,0,48000000,137900000,453100000,315200000,5200000,320400000,-48000000,272400000,35000000,237400000,-200000,0,237200000,0,237200000,2.05,2.03,115900000,116700000
"2025-09-30","0IFX.L","USD","0000712515","2025-09-29","2025-09-29 08:05:41","2026","Q2",1839000000,451000000,1388000000,686000000,189000000,304000000,493000000,0,1179000000,1630000000,-3000000,0,3000000,82000000,282000000,200000000,9000000,209000000,-12000000,197000000,60000000,137000000,0,0,137000000,0,137000000,0.55,0.54,250000000,252000000
"2025-09-30","0IVR.L","USD","0001321741","2025-11-04","2025-11-04 16:09:39","2026","Q2",36113000,9631000,26482000,0,1433000,0,1433000,-3660000,-2227000,7404000,13038000,22669000,9631000,0,28709000,28709000,0,28709000,0,28709000,0,28709000,0,0,28709000,0,28709000,0.747,0.747,38445643,38445643
"2025-09-30","0IWU.L","EUR","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q2",22445000,14736000,7709000,0,0,0,0,2800000,2800000,17536000,-216000,1000,217000,1906000,6816000,4910000,-1000,4909000,-216000,4693000,1316000,3377000,0,0,3220000,0,3220000,0.29,0.29,11103448,11103448
"2025-09-30","0JZU.L","USD","0000927653","2025-11-06","2025-11-05 17:33:36","2026","Q2",103150000000,99608000000,3542000000,0,0,2074000000,2074000000,0,2074000000,101682000000,-74000000,0,74000000,0,1469000000,1469000000,-1000000,1468000000,-73000000,1395000000,232000000,1163000000,0,0,1110000000,0,1110000000,8.95,8.92,124000000,124400000
"2025-09-30","0K19.L","USD","0000827054","2025-11-06","2025-11-06 16:27:11","2026","Q2",1140400000,670200000,470200000,223300000,0,0,151700000,0,375000000,1045200000,-52700000,3600000,56300000,172700000,260800000,88100000,7100000,95200000,-63400000,31800000,-9900000,41700000,0,0,41700000,0,41700000,0.077,0.077,539200000,539200000
"2025-11-01","0K50.L","USD","0000069891","2025-12-11","2025-12-11 16:36:09","2026","Q2",288331000,179146000,109185000,0,0,0,51139000,0,51139000,230285000,2800000,2800000,0,5586000,63632000,58046000,0,58046000,2655000,60701000,14337000,46364000,0,0,46364000,0,46364000,0.5,0.49,93623000,93684000
"2025-10-24","0K6F.L","USD","0001002047","2025-11-25","2025-11-25 16:15:53","2026","Q2",1705000000,478000000,1227000000,251000000,89000000,465000000,554000000,23000000,828000000,1306000000,1000000,27000000,26000000,52000000,471000000,419000000,-20000000,399000000,-6000000,393000000,88000000,305000000,0,0,305000000,0,305000000,1.53,1.51,199000000,202000000
"2025-07-31","0KB7.L","USD","0001660134","2025-08-27","2025-08-26 18:05:51","2026","Q2",728000000,168000000,560000000,160000000,113000000,246000000,359000000,0,519000000,687000000,26000000,27000000,1000000,24000000,92000000,68000000,-27000000,41000000,26000000,67000000,0,67000000,0,0,67000000,0,67000000,0.38,0.37,175460000,180966000
"2025-11-30","0KGE.L","USD","0000723531","2025-12-22","2025-12-22 16:03:09","2026","Q2",1557600000,412200000,1145400000,0,0,0,573500000,0,573500000,985700000,-49800000,18700000,68500000,109100000,697800000,588700000,-16800000,571900000,-51700000,520200000,124800000,395400000,0,0,395400000,0,395400000,1.1,1.1,359700000,361100000
"2025-07-31","0KKZ.L","USD","0001441816","2025-08-27","2025-08-27 16:13:23","2026","Q2",591402000,171428000,419974000,181739000,59464000,244065000,303529000,0,485268000,656696000,22164000,23637000,1473000,9511000,-32136000,-41647000,-23647000,-65294000,22174000,-43120000,3928000,-47048000,0,0,-47048000,0,-47048000,-0.58,-0.58,81078000,81078000
"2025-08-03","0KSA.L","USD","0001474432","2025-09-10","2025-09-09 17:45:10","2026","Q2",861002000,256666000,604336000,242026000,71549000,285890000,357439000,0,599465000,856131000,45700000,50965940,5265940,35927000,86498000,50571000,-45700000,4871000,45700000,50571000,3453000,47118000,0,0,47118000,0,47118000,0.14,0.14,327594000,337734000
"2025-09-27","0KSJ.L","USD","0001604778","2025-11-03","2025-11-03 16:16:29","2026","Q2",1058503000,561415000,497088000,198424000,47680000,59644000,107324000,33657000,339405000,900820000,-18483000,0,18483000,66705000,240283000,173578000,-15895000,157683000,-2588000,155095000,35492000,119603000,0,0,119603000,0,119603000,1.29,1.28,92803000,93792000
"2025-09-27","0KTS.L","USD","0001037038","2025-11-06","2025-11-06 10:09:18","2026","Q2",2010700000,644300000,1366400000,0,0,0,1083400000,37300000,1120700000,1765000000,-1300000,0,1300000,57000000,301100000,244100000,1600000,245700000,-2900000,242800000,35300000,207500000,0,0,207500000,0,207500000,3.4,3.32,62500000,62400000
"2025-09-30","0KUV.L","EUR","0000000000","2025-09-30","2025-09-29 20:00:00","2026","Q2",18900000,4400000,14500000,7400000,0,0,9800000,0,17200000,21600000,-1300000,0,1300000,0,-4900000,-4900000,2200000,-2700000,-3400000,-6100000,300000,-6400000,0,0,-6400000,0,-6400000,-0.0114,-0.0114,0,0
"2025-10-31","0L7F.L","USD","0000091419","2025-11-25","2025-11-25 16:16:08","2026","Q2",2330100000,1548200000,781900000,0,0,0,398200000,0,398200000,1946400000,-98600000,0,98600000,143300000,557100000,413800000,-30100000,383700000,-65300000,318400000,77100000,241300000,0,0,241300000,0,241300000,2.26,2.26,106600000,106900000
"2025-08-02","0LCE.L","USD","0000109198","2025-08-29","2025-08-29 11:53:46","2026","Q2",14401000000,9976000000,4425000000,0,0,0,2805000000,0,2805000000,12781000000,27000000,45000000,18000000,308000000,1973000000,1665000000,-45000000,1620000000,27000000,1647000000,404000000,1243000000,0,0,1243000000,0,1243000000,1.11,1.1,1128000000,1128000000
"2025-09-30","0LCX.L","USD","0000946581","2025-11-07","2025-11-06 17:32:15","2026","Q2",1773800000,793300000,980500000,268000000,225000000,536600000,761600000,48900000,1078500000,1871800000,-17500000,0,17500000,215500000,117500000,-98000000,0,-98000000,-17500000,-115500000,18400000,-133900000,0,0,-133900000,0,-133900000,-0.73,-0.73,184600028,184600000
"2025-07-31","0LO3.L","USD","0001393052","2025-08-29","2025-08-29 16:08:03","2026","Q2",789081000,195253000,593828000,192677000,95804000,109439000,205243000,0,397920000,593173000,0,0,0,10126000,206034000,195908000,0,195908000,69456000,265364000,65055000,200309000,0,0,200309000,0,200309000,1.23,1.19,163129000,167272000
