"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","netIncome","depreciationAndAmortization","deferredIncomeTax","stockBasedCompensation","changeInWorkingCapital","accountsReceivables","inventory","accountsPayables","otherWorkingCapital","otherNonCashItems","netCashProvidedByOperatingActivities","investmentsInPropertyPlantAndEquipment","acquisitionsNet","purchasesOfInvestments","salesMaturitiesOfInvestments","otherInvestingActivities","netCashProvidedByInvestingActivities","netDebtIssuance","longTermNetDebtIssuance","shortTermNetDebtIssuance","netStockIssuance","netCommonStockIssuance","commonStockIssuance","commonStockRepurchased","netPreferredStockIssuance","netDividendsPaid","commonDividendsPaid","preferredDividendsPaid","otherFinancingActivities","netCashProvidedByFinancingActivities","effectOfForexChangesOnCash","netChangeInCash","cashAtEndOfPeriod","cashAtBeginningOfPeriod","operatingCashFlow","capitalExpenditure","freeCashFlow","incomeTaxesPaid","interestPaid"
"2025-10-31","0A1O.L","USD","0001585521","2025-11-25","2025-11-25 16:02:47","2026","Q3",612873000,66511000,53404000,185282000,27022000,3546000,0,1579000,21897000,-315766000,629326000,-15009000,0,-1125917000,995195000,1363000,-144368000,0,0,0,-413706000,-413706000,479000,-413706000,0,0,0,0,-52349000,-466055000,-14000,18889000,1227588000,1208699000,629326000,-15009000,614317000,0,0
"2025-10-31","0A23.L","USD","0001412408","2025-11-12","2025-11-12 17:18:52","2026","Q3",4271000,7478000,57000,15959000,0,-11455000,0,1303000,0,-12298000,15467000,-3271000,0,0,0,-3395000,-6666000,0,0,0,0,0,0,0,0,0,0,0,-667000,-667000,-29000,8105000,106371000,98266000,15467000,-3271000,12196000,0,0
"2025-10-31","0HJF.L","USD","0000769397","2025-11-26","2025-11-26 16:03:09","2026","Q3",343000000,50000000,118000000,186000000,-432000000,-274000000,0,78000000,-236000000,174000000,439000000,-9000000,0,-313000000,230000000,-17000000,-109000000,0,0,0,-297000000,-297000000,62000000,-359000000,0,0,0,0,-48000000,-345000000,1000000,-14000000,1989000000,2003000000,439000000,-9000000,430000000,0,0
"2025-10-31","0HP1.L","USD","0001372612","2025-10-31","2025-10-30 20:00:00","2026","Q3",12065000,8983000,10118000,0,-33688000,-17668000,0,-7081000,-8939000,75566000,73044000,-11696000,7000,-29823000,34200000,0,-7312000,0,0,0,-66339000,-66339000,10514000,-76853000,0,-3750000,-3750000,0,-19745000,-89834000,-633000,-24735000,634818000,659553000,73044000,-1733000,71311000,0,0
"2025-11-30","0HTQ.L","USD","0001170010","2025-12-23","2025-12-23 10:02:45","2026","Q3",62215000,88483000,34194000,16106000,74572000,-590195000,21622000,0,643145000,977507000,1253077000,-139758000,0,-2989000,767000,3169000,-138811000,-1303071000,-1303071000,0,-203567000,-203567000,-8349000,-203567000,0,0,0,0,0,-1506638000,0,-392372000,912803000,1305175000,1253077000,-139758000,1113319000,0,0
"2025-10-31","0KB7.L","USD","0001660134","2025-12-03","2025-12-02 18:08:06","2026","Q3",43000000,24000000,4000000,0,-31000000,-47000000,0,1000000,15000000,178000000,218000000,-7000000,-53000000,-336000000,501000000,0,105000000,-508000000,-508000000,0,1000000,1000000,1000000,0,0,0,0,0,-46000000,-555000000,-1000000,-233000000,645000000,878000000,218000000,-4000000,214000000,0,0
"2025-10-31","0KKZ.L","USD","0001441816","2025-12-02","2025-12-02 16:19:32","2026","Q3",-2007000,9562000,447000,0,12289000,-66992999,0,4993000,74289000,131540000,151831000,-1678000,0,0,232660000,0,230982000,-10036000,-1715000,-8321000,-148100000,-148100000,533000,-148633000,0,0,0,0,-38496000,-196632000,772000,186953000,837170000,650206000,151831000,-1678000,150153000,6558000,486000
"2025-11-02","0KSA.L","USD","0001474432","2025-12-10","2025-12-10 16:43:56","2026","Q3",54806000,37785000,0,106185000,-320661000,-240908000,-17689000,18349000,-80413000,-256135000,-378020000,70954000,-4263000,186461000,-314895000,0,-61743000,98808000,98808000,0,101756000,101756000,-7153000,108909000,0,0,0,0,31682000,232246000,170506000,-37011000,852838000,889849000,-378020000,70954000,-307066000,0,0
"2025-11-01","0LCE.L","USD","0000109198","2025-12-02","2025-12-02 11:19:44","2026","Q3",1442000000,0,20000000,0,-299000000,-2000000,-2006000000,1254000000,455000000,369000000,1532000000,-531000000,0,-17000000,7000000,0,-541000000,0,0,0,-502000000,-502000000,92000000,-594000000,0,-473000000,-473000000,0,0,-975000000,-15000000,1000000,4640000000,4639000000,1532000000,-531000000,1001000000,0,0
"2025-10-31","0LO3.L","USD","0001393052","2025-11-21","2025-11-21 16:07:12","2026","Q3",236203000,0,18486000,0,-197707000,100783000,0,-171000,-298319000,135805000,192787000,-9889000,0,-933336000,447992000,0,-495233000,0,0,0,57699000,57699000,57699000,0,0,0,0,0,-25053000,32646000,-494000,-270294000,1660137000,1930431000,192787000,-6303000,186484000,0,0
"2025-10-31","0M18.L","USD","0001327811","2025-11-26","2025-11-26 16:03:42","2026","Q3",252000000,85000000,61000000,376000000,-256000000,-126000000,0,-7000000,-123000000,70000000,588000000,-38000000,-974000000,-241000000,2940000000,0,1687000000,0,0,0,-802000000,-802000000,0,-803000000,0,0,0,0,-124000000,-926000000,0,1349000000,2618000000,1269000000,588000000,-38000000,550000000,14000000,55000000
"2025-10-31","0M2Q.L","USD","0001614178","2025-12-08","2025-12-08 16:11:40","2026","Q3",6136000,9041000,0,12338000,5353000,2535000,0,-17545000,0,-52688000,-19820000,-515000,0,0,0,0,-515000,0,0,0,0,45059000,-321000,-14396000,0,0,0,0,-30679000,-30679000,407000,-50607000,158931000,209538000,-19820000,-515000,-20335000,0,0
"2025-11-30","0R0P.L","USD","0001070235","2025-12-19","2025-12-19 16:20:39","2026","Q3",13700000,4000000,0,6100000,-4259523,-24093799,0,9304788,10529488,-1357700,18182777,2148083,0,21700000,14300000,-59943974,-21795891,0,0,0,-2737131,-2737131,1295553,-4032684,0,0,0,0,0,-2737131,-303537,-6653782,284300000,290600000,18182777,-898453,17284324,0,0
"2025-11-01","0R18.L","USD","0000764478","2025-12-05","2025-12-05 16:57:48","2026","Q3",140000000,206000000,-8000000,31000000,-657000000,-100000000,-2186000000,1622000000,7000000,189000000,-99000000,-188000000,0,0,0,2000000,-186000000,-10000000,-10000000,0,-35000000,-35000000,0,-35000000,0,-199000000,-199000000,0,10000000,-234000000,-271000000,-790000000,923000000,1713000000,-99000000,-188000000,-287000000,0,0
"2025-10-31","0V9N.L","USD","0001571123","2025-10-31","2025-10-30 20:00:00","2026","Q3",78000000,38000000,-8000000,0,-1000000,-80000000,0,62000000,17000000,22000000,129000000,-9000000,-203000000,-4000000,1000000,0,-215000000,191000000,191000000,0,-91000000,-91000000,4000000,-95000000,0,-17000000,-17000000,0,0,83000000,0,-3000000,48000000,51000000,129000000,-9000000,120000000,0,0
"2025-10-31","0XNH.L","USD","0001261333","2025-12-05","2025-12-05 16:57:27","2026","Q3",83725000,30399000,-2347000,160642000,-40705000,707000,0,12477000,-53889000,58560000,290274000,-27374000,0,-109860000,99486000,0,-37748000,-15419000,0,-15419000,-196207000,-196207000,18850000,-215057000,0,0,0,0,-58835000,-270461000,1940000,-15995000,600291000,616286000,290274000,-27374000,262900000,0,0
"2025-10-31","0YU1.L","USD","0001280263","2025-12-04","2025-12-04 14:30:54","2026","Q3",-15107000,6514000,68000,25741000,-196000,669000,-5374000,8749000,-4240000,17294000,34314000,4565000,0,-18589000,16487000,-7467000,-5004000,0,0,0,3893000,3893000,4893000,-1000000,0,0,0,0,-1885000,2008000,0,31318000,174499000,143181000,34314000,0,34314000,544000,0
"2025-10-31","12DA.DE","USD","0001571996","2025-11-25","2025-11-25 16:10:47","2026","Q3",1548000000,0,0,0,0,0,0,0,0,-1548000000,0,0,0,-46000000,71000000,-642000000,-617000000,0,0,0,0,0,4000000,-1247000000,0,-351000000,0,0,1208000000,857000000,30000000,1442000000,9733000000,8291000000,0,0,0,0,0
"2025-10-31","5ZM.F","USD","0001585521","2025-11-25","2025-11-25 16:02:47","2026","Q3",612873000,66511000,53404000,185282000,27022000,3546000,0,1579000,21897000,-315766000,629326000,-15009000,0,-1125917000,995195000,1363000,-144368000,0,0,0,-413706000,-413706000,479000,-413706000,0,0,0,0,-52349000,-466055000,-14000,18889000,1227588000,1208699000,629326000,-15009000,614317000,0,0
